No,Pattern,Pattern.1
1,11001,กรรมการ x คนลงลายมือชื่อ
2,11002,กรรมการ x คนลงลายมือชื่อและประทับตราสำคัญของบริษัท
3,11003,กรรมการ x ใน y คนลงลายมือชื่อ
4,11004,กรรมการ x ใน y คนลงลายมือชื่อและประทับตราสำคัญของบริษัท
5,11005,กรรมการ x คนขึ้นไปลงลายมือชื่อและประทับตราของบริษัท
6,11006,กรรมการ x คนขึ้นไปลงลายมือชื่อ
7,11007,กรรมการอย่างน้อย x คนลงลายมือชื่อร่วมกันและประทับตราของบริษัท
8,11008,กรรมการอย่างน้อย x คนลงลายมือชื่อร่วมกัน
9,11009,กรรมการคนที่ x คนลงลายมือชื่อและประทับตราของบริษัท
10,11010,กรรมการคนที่ x คนลงลายมือชื่อ
11,11011,กรรมการทุกคนลงลายมือชื่อและประทับตราของบริษัท
12,11012,กรรมการทุกคนลงลายมือ
13,11013,กรรมการคนใดคนหนึ่งลงลายมือชื่อและประทับตราของบริษัท
14,11014,กรรมการคนใดคนหนึ่งลงลายมือชื่อและประทับตราสำคัญของบริษัท
15,11015,กรรมการคนใดคนหนึ่งลงลายมือชื่อ
16,11016,กรรมการคนใดคนหนึ่งลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คน รวมเป็น y คน และประทับตราสำคัญของบริษัท
17,11017,หุ้นส่วนผู้จัดการลงลายมือชื่อ ไม่มีข้อจำกัด
18,20001,(นาย ก. นาย ข. นาย ค….) กรรมการ x ใน y  ลงลายมือชื่อและประทับตราสำคัญของบริษัท
19,20002,(นาย ก. นาย ข. นาย ค….) กรรมการ x ใน y ลงลายมือชื่อร่วมกับกรรมการอื่นอีก z คน รวมเป็น s คนและประทับตราสำคัญของบริษัท
20,20003,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ...) รวมเป็นสองคนและประทับตราสำคัญของบริษัท
21,20004,(นาย ก.หรือ นาย ข.หรือ..) กรรมการกลุ่ม 1 (นาย ค.หรือ นาย ง.หรือ..) กรรมการกลุ่ม 2 (นาย จ.หรือ นาย ฉ.หรือ..) กรรมการกลุ่ม 3 กรรมการหนึ่งคนจากกลุ่ม 1 ลงลายมือชื่อร่วมกับกรรมการหนึ่งคนจากกลุ่ม 2 และอีกหนึ่งคนจากกลุ่ม 3 รวมเป็นสามคนและประทับตราสำคัญของบริษัท
22,20005,นาย ก.ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คนและประทับตราสำคัญของบริษัท
23,20006,(นาย ก. นาย ข. นาย ค….) กรรมการ x ใน y ลงลายมือชื่อร่วมกัน
24,20007,(นาย ก. นาย ข. นาย ค….) กรรมการ x ใน y ลงลายมือชื่อร่วมกับกรรมการอื่นอีก z คน รวมเป็น s คน
25,20008,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ...) รวมเป็นสองคน
26,20009,นาย ก.ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คน
27,20010,(นาย ก.หรือ นาย ข.หรือ..) กลุ่ม 1 (นาย ค.หรือ นาย ง.หรือ..) กลุ่ม 2 (นาย จ.หรือ นาย ฉ.หรือ..) กลุ่ม 3..กลุ่ม 4.. กรรมการ x คนจากแต่ละกลุ่มรวมเป็น y คนลงลายมือชื่อร่วมกันและประทับตราสำคัญของบริษัท
28,20011,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...)  ลงลายมือชื่อร่วมกันเป็น x คน
29,20012,(นาย ก. นาย ข. นาย ค….กรรมการ x ใน y) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ...) รวมเป็น z คนและประทับตราสำคัญของบริษัท
30,20013,นาย ก.และ นาย ข.ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คน รวมเป็น y คนและประทับตราสำคัญของบริษัท
31,20014,(นาย ก.หรือ นาย ข.หรือ..) กรรมการกลุ่ม 1 (นาย ค.หรือ นาย ง.หรือ..) กรรมการกลุ่ม 2 (นาย จ.หรือ นาย ฉ.หรือ..) กรรมการกลุ่ม 3 ...กลุ่ม x  โดยกรรมการ x คนจากกลุ่ม 1 ลงลายมือชื่อร่วมกับกรรมการ x คนจากกลุ่ม 2 ลงลายมือชื่อร่วมกับกรรมการ x คนจากกลุ่ม 3.. รวมเป็นYคนและประทับตราสำคัญของบริษัท
32,20015,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คนรวมเป็น Yคนและประทับตราของบริษัท
33,20016,นาย ก. นาย ข. นาย ค. และ.... ลงลายมือชื่อร่วมกับกรรมการอีก x คน รวมเป็น y คน และประทับตราสำคัญของบริษัท
34,20017,นาย ก. และ นาย ข. และ.... ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คน รวมเป็น y คน
35,20018,(นาย ก. นาย ข. นาย ค....) กรรมการ x ใน y ลงลายมือชื่อร่วมกับ นาย ง.
36,20019,(นาย ก. นาย ข. นาย ค….กรรมการ x ใน y) ลงลายมือชื่อร่วมกับ นาย ง. รวมเป็น z คนและประทับตราสำคัญของบริษัท
37,20020,นาย ก. นาย ข. และ นาย ค..... ลงลายมือชื่อร่วมกับ (นาย ง.หรือ นาย จ.หรือ นาย ฉ.หรือ...) รวมเป็น x คน
38,20021,นาย ก. ลงลายมือชื่อร่วมกับกรรมการอีก x ใน y คน และประทับตราสำคัญของบริษัท
39,20022,(นาย ก.หรือ นาย ข.หรือ..) กลุ่ม 1 (นาย ค.หรือ นาย ง.หรือ..) กลุ่ม 2 (นาย จ.หรือ นาย ฉ.หรือ..) กลุ่ม 3..กลุ่ม 4.. กรรมการคนใดคนหนึ่งลงลายมือชื่อ
40,20023,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) ลงลายมือชื่อร่วมกันเป็น x คน และประทับตราสำคัญของบริษัท
41,20024,(นาย ก. นาย ข. นาย ค….กรรมการ x ใน y) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ...) รวมเป็น z คน
42,20025,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คน
43,20026,(นาย ก. นาย ข. นาย ค….กรรมการ x ใน y) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ...กรรมการ x ใน y) รวมเป็น z คนและประทับตราสำคัญของบริษัท
44,20027,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ...) ลงลายมือชื่อร่วมกับ (นาย ช. หรือ นาย ซ. นาย ฌ. หรือ.....) รวมเป็น x คน
45,20028,(นาย ก. หรือ นาย ข. หรือ นาย ค. หรือ...) และ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ....) ลงลายมือชื่อร่วมกับกรรมการอื่นอีก x คน รวมเป็น y คน และประทับตราสำคัญของบริษัท
46,20029,(นาย ก. และ นาย ข. และ นาย ค. และ...) ลงลายมือชื่อร่วมกับ (นาย ง. หรือ นาย จ. หรือ นาย ฉ. หรือ....) อีก x คน รวมเป็น y คน และประทับตราสำคัญของบริษัท
47,30001,นาย ก.ลงลายมือชื่อและประทับตราสำคัญของบริษัท
48,30002,นาย ก.และนาย ข.ลงลายมือชื่อและประทับตราสำคัญของบริษัท
49,30003,นาย ก.หรือ นาย ข.หรือ นาย ค.หรือ...ลงลายมือชื่อและประทับตราสำคัญของบริษัท
50,30004,นาย ก.ลงลายมือชื่อร่วมกับ (นาย ข.หรือ นาย ค.หรือ นาย ง.หรือ...) รวมเป็นสองคนและประทับตราสำคัญของบริษัท
51,30005,(นาย ก.หรือ นาย ข. หรือ นาย ค.หรือ...) ลงลายมือชื่อร่วมกับ นาย ง.ลงลายมือชื่อร่วมกัน รวมเป็นสองคนและประทับตราสำคัญของบริษัท
52,30006,นาย ก.และ นาย ข.ลงลายมือชื่อร่วมกับ (นาย ค.หรือ นาย ง.หรือ นาย จ.หรือ...) รวมเป็นสามคนและประทับตราสำคัญของบริษัท
53,30007,นาย ก.และนาย ข. และนาย ค และ...ลงลายมือชื่อร่วมกัน
54,30008,นาย ก.ลงลายมือชื่อ
55,30009,นาย ก.หรือ นาย ข.หรือ นาย ค.หรือ...ลงลายมือชื่อร่วมกัน
56,30010,นาย ก.ลงลายมือชื่อร่วมกับ (นาย ข.หรือ นาย ค.หรือ นาย ง.หรือ...) รวมเป็นสองคน
57,30011,(นาย ก.หรือ นาย ข. หรือ นาย ค.หรือ...) ลงลายมือชื่อร่วมกับ นาย ง.ลงลายมือชื่อร่วมกัน
58,30012,นาย ก.และ นาย ข.ลงลายมือชื่อร่วมกับ (นาย ค.หรือ นาย ง.หรือ นาย จ.หรือ...) รวมเป็นสามคน
59,30013,นาย ก.และ นาย ข. และ นาย ค.หรือ นาย ง.หรือ นาย จ. ...ลงลายมือชื่อร่วมกัน
60,30014,นาย ก.และ นาย ข. และ นาย ค.หรือ นาย ง.หรือ นาย จ. ...ลงลายมือชื่อร่วมกันและประทับตราสำคัญของบริษัท
61,30015,นาย ก.และนาย ข. และนาย ค และ...ลงลายมือชื่อร่วมกันและประทับตราของบริษัท
62,30016,นาย ก.หรือ นาย ข.หรือ นาย ค.หรือ...ลงลายมือชื่อ
